GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-bom/waffle-tests,waffle.mock.http,SimpleFilterConfig,46,0,0,0,13,0,7,0,7,0
waffle-bom/waffle-tests,waffle.mock.http,RecordUserNameFilterChain,14,0,0,0,5,0,3,0,3,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleFilterChain,16,0,0,0,6,0,4,0,4,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleHttpRequest,199,0,12,0,53,0,34,0,28,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleHttpResponse,209,0,14,0,50,0,23,0,16,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleHttpSession,51,0,0,0,21,0,18,0,18,0
waffle-bom/waffle-tests,waffle.mock.http,SimpleRequestDispatcher,19,0,0,0,8,0,3,0,3,0
waffle-bom/waffle-tomcat7,waffle.apache,WaffleAuthenticatorBase,309,0,12,0,75,0,26,0,20,0
waffle-bom/waffle-tomcat7,waffle.apache,WindowsRealm,9,0,0,0,4,0,4,0,4,0
waffle-bom/waffle-tomcat7,waffle.apache,MixedAuthenticator,515,0,44,0,121,0,29,0,7,0
waffle-bom/waffle-tomcat7,waffle.apache,NegotiateAuthenticator,308,0,24,0,75,0,16,0,4,0
waffle-bom/waffle-tomcat7,waffle.apache,GenericWindowsPrincipal,173,0,12,0,39,0,17,0,9,0
waffle-bom/waffle-tomcat85,waffle.apache,WaffleAuthenticatorBase,309,0,12,0,75,0,26,0,20,0
waffle-bom/waffle-tomcat85,waffle.apache,WindowsRealm,9,0,0,0,4,0,4,0,4,0
waffle-bom/waffle-tomcat85,waffle.apache,MixedAuthenticator,524,0,44,0,123,0,30,0,8,0
waffle-bom/waffle-tomcat85,waffle.apache,NegotiateAuthenticator,313,0,24,0,76,0,17,0,5,0
waffle-bom/waffle-tomcat85,waffle.apache,GenericWindowsPrincipal,173,0,12,0,39,0,17,0,9,0
waffle-bom/waffle-tomcat9,waffle.apache,WaffleAuthenticatorBase,309,0,12,0,75,0,26,0,20,0
waffle-bom/waffle-tomcat9,waffle.apache,WindowsRealm,9,0,0,0,4,0,4,0,4,0
waffle-bom/waffle-tomcat9,waffle.apache,MixedAuthenticator,524,0,44,0,123,0,30,0,8,0
waffle-bom/waffle-tomcat9,waffle.apache,NegotiateAuthenticator,313,0,24,0,76,0,17,0,5,0
waffle-bom/waffle-tomcat9,waffle.apache,GenericWindowsPrincipal,173,0,12,0,39,0,17,0,9,0
